Authors	Author full names	Author(s) ID	Title	Year	Source title	Volume	Issue	Art. No.	Page start	Page end	Page count	DOI	Link	Abstract	Document Type	Source
Monteiro G.G.T.N.; Barros D.J.; Gabriel G.V.M.; Venturini A.M.; Veloso T.G.R.; Vazquez G.H.; Oliveira L.C.; Neu V.; Bodelier P.L.E.; Mansano C.F.M.; Tsai S.M.; Navarrete A.A.	Monteiro, Gabriel G. T. N. (58707192300); Barros, Dayane J. (57215000367); Gabriel, Gabriele V. M. (55930337000); Venturini, Andressa M. (57215030275); Veloso, Tomás G. R. (55773846800); Vazquez, Gisele H. (25923193400); Oliveira, Luciana C. (8524164700); Neu, Vania (16239182900); Bodelier, Paul L. E. (6602832669); Mansano, Cleber Fernando M. (55217584500); Tsai, Siu M. (7403478681); Navarrete, Acacio A. (35885721200)	58707192300; 57215000367; 55930337000; 57215030275; 55773846800; 25923193400; 8524164700; 16239182900; 6602832669; 55217584500; 7403478681; 35885721200	Molecular evidence for stimulation of methane oxidation in Amazonian floodplains by ammonia-oxidizing communities	2022	Frontiers in Microbiology	13		913453				10.3389/fmicb.2022.913453	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136236887&doi=10.3389%2ffmicb.2022.913453&partnerID=40&md5=bcd4a7f71920dda9604bea431cd9b706	Ammonia oxidation is the rate-limiting first step of nitrification and a key process in the nitrogen cycle that results in the formation of nitrite (NO2–), which can be further oxidized to nitrate (NO3–). In the Amazonian floodplains, soils are subjected to extended seasons of flooding during the rainy season, in which they can become anoxic and produce a significant amount of methane (CH4). Various microorganisms in this anoxic environment can couple the reduction of different ions, such as NO2– and NO3–, with the oxidation of CH4 for energy production and effectively link the carbon and nitrogen cycle. Here, we addressed the composition of ammonium (NH4+) and NO3–—and NO2–—dependent CH4-oxidizing microbial communities in an Amazonian floodplain. In addition, we analyzed the influence of environmental and geochemical factors on these microbial communities. Soil samples were collected from different layers of forest and agroforest land-use systems during the flood and non-flood seasons in the floodplain of the Tocantins River, and next-generation sequencing of archaeal and bacterial 16S rRNA amplicons was performed, coupled with chemical characterization of the soils. We found that ammonia-oxidizing archaea (AOA) were more abundant than ammonia-oxidizing bacteria (AOB) during both flood and non-flood seasons. Nitrogen-dependent anaerobic methane oxidizers (N-DAMO) from both the archaeal and bacterial domains were also found in both seasons, with higher abundance in the flood season. The different seasons, land uses, and depths analyzed had a significant influence on the soil chemical factors and also affected the abundance and composition of AOA, AOB, and N-DAMO. During the flood season, there was a significant correlation between ammonia oxidizers and N-DAMO, indicating the possible role of these oxidizers in providing oxidized nitrogen species for methanotrophy under anaerobic conditions, which is essential for nitrogen removal in these soils. Copyright © 2022 Monteiro, Barros, Gabriel, Venturini, Veloso, Vazquez, Oliveira, Neu, Bodelier, Mansano, Tsai and Navarrete.	Article	Scopus
Angulo R.J.; Souza M.C.D.; Giannini P.C.F.; Dillenburg S.R.; Barboza E.G.; Rosa M.L.C.D.C.; Hesp P.A.; Pessenda L.C.R.	Angulo, Rodolfo José (7003594629); Souza, Maria Cristina de (8977007200); Giannini, Paulo César Fonseca (7004349366); Dillenburg, Sergio Rebello (6506023650); Barboza, Eduardo G. (8694684200); Rosa, Maria Luiza Correa da Camara (36133650900); Hesp, Patrick A. (6701688719); Pessenda, Luiz Carlos Ruiz (6603793283)	7003594629; 8977007200; 7004349366; 6506023650; 8694684200; 36133650900; 6701688719; 6603793283	Late-Holocene sea levels from vermetids and barnacles at Ponta do Papagaio, 27° 50′S latitude and a comparison with other sectors of southern Brazil	2022	Quaternary Science Reviews	286		107536				10.1016/j.quascirev.2022.107536	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127800621&doi=10.1016%2fj.quascirev.2022.107536&partnerID=40&md5=3edd7993d0d6717cf8098e975690130b	The height difference between paleo-vermetids and present homologous bioconstructions remains as the best Mid- to Late-Holocene paleo-sea level indicator on the Brazilian coast. The vertical range of the vermetid bioconstructions and, consequently, their precision as a sea-level indicator, varies from ±0.1 to ±1.0 m according to local conditions such as wave energy exposure and tidal range. However, live vermetid bioconstructions are scarce or do not occur at several places south of 23°S latitude, which has led to the use of other bioconstructions (e.g. Phragmatopoma caudata) as a homologous reference level, adding uncertainties to the paleo-sea level reconstructions. At the Southeast Brazilian coast, from 25° 30′ S to 28° 37′ S latitude, the precision varies from ±0.5 to ±1.0 m. At the Ponta do Papagaio headland, at 27°50′38″- 44″ S latitude, the occurrence of the subfossil barnacle Tetraclita stalactifera included in the remains of Holocene vermetids (Petaloconchus varians (d'Orbigny, 1839)) bioconstructions allowed the authors to adopt the living fringe of this barnacle species as a homologous reference level and thereby improve the accuracy of paleo-sea level reconstructions (error margin of only ± 0.5 to ± 0.3 m). The paleo-sea level obtained at Ponta do Papagaio by this method varied between +2.4 and 0.8 m. The resultant relative sea-level curve is included in the empiric sea-level envelop previously determined for the Brazilian coast, south of 28°S latitude, and matches with the far-field eustatic sea-level models. It is also similar to other curves defined for Southern Brazil regions such as Laguna-Imbituba (Santa Marta Cape surroundings, 85-40 km to South from Ponta do Papagaio), São Francisco do Sul (180 km North) and Paraná (220–260 km North). However, the height of 2.4 ± 0.3 m at 4 ky BP at Ponta do Papagaio is similar to the two cited regions to the North, but higher than the one at Laguna-Imbituba for the same period. This difference may not be significant, as it is within the ±1.0 m error margin adopted in the inference of the paleo-sea level at Laguna-Imbituba. If it is significant, it can be attributed to a local lowering of relative sea-level by thermosteric and dynamic effects of the Santa Marta Cape coastal upwelling strengthening at the epoch of maximum sea-level. This work also suggests further quantification of the living vertical distribution of vermetids and other species used as reference species (e.g. Tetraclita stalactifera, Phragmatopoma caudata), under different bedrock morphology, wave exposure and oceanographic conditions, as a necessary way to improve the precision of paleo-sea level reconstructions. © 2022	Article	Scopus
Lima J.E.; Serezino L.H.D.; Alves M.K.; Tagliaferro A.L.; Vitti M.; Creste S.; Riaño-Pachón D.M.; dos Santos R.V.; Figueira A.	Lima, Joni E. (26635372500); Serezino, Luis H. D. (57214741095); Alves, Melissa K. (57816034600); Tagliaferro, André L. (57214740225); Vitti, Marielle (57214184425); Creste, Silvana (6506611199); Riaño-Pachón, Diego M. (8609853200); dos Santos, Renato V. (24464241100); Figueira, Antonio (7004192331)	26635372500; 57214741095; 57816034600; 57214740225; 57214184425; 6506611199; 8609853200; 24464241100; 7004192331	Root nitrate uptake in sugarcane (Saccharum spp.) is modulated by transcriptional and presumably posttranscriptional regulation of the NRT2.1/NRT3.1 transport system	2022	Molecular Genetics and Genomics	297	5		1403	1421	18	10.1007/s00438-022-01929-8	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134746036&doi=10.1007%2fs00438-022-01929-8&partnerID=40&md5=b5fa087f241cf94edc64e5a6f14903d0	Key message: Nitrate uptake in sugarcane roots is regulated at the transcriptional and posttranscriptional levels based on the physiological status of the plant and is likely a determinant mechanism for discrimination against nitrate. Abstract: Sugarcane (Saccharum spp.) is one of the most suitable energy crops for biofuel feedstock, but the reduced recovery of nitrogen (N) fertilizer by sugarcane roots increases the crop carbon footprint. The low nitrogen use efficiency (NUE) of sugarcane has been associated with the significantly low nitrate uptake, which limits the utilization of the large amount of nitrate available in agricultural soils. To understand the regulation of nitrate uptake in sugarcane roots, we identified the major canonical nitrate transporter genes (NRTs—NITRATE TRANSPORTERS) and then determined their expression profiles in roots under contrasting N conditions. Correlation of gene expression with 15N-nitrate uptake revealed that under N deprivation or inorganic N (ammonium or nitrate) supply in N-sufficient roots, the regulation of ScNRT2.1 and ScNRT3.1 expression is the predominant mechanism for the modulation of the activity of the nitrate high-affinity transport system. Conversely, in N-deficient roots, the induction of ScNRT2.1 and ScNRT3.1 transcription is not correlated with the marked repression of nitrate uptake in response to nitrate resupply or high N provision, which suggested the existence of a posttranscriptional regulatory mechanism. Our findings suggested that high-affinity nitrate uptake is regulated at the transcriptional and presumably at the posttranscriptional levels based on the physiological N status and that the regulation of NRT2.1 and NRT3.1 activity is likely a determinant mechanism for the discrimination against nitrate uptake observed in sugarcane roots, which contributes to the low NUE in this crop species. © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.	Article	Scopus
Santos F.G.; Maya F.; Reis B.F.D.; Zagatto E.A.G.; Cerdà V.	Santos, Felisberto Gonçalves (57213090372); Maya, Fernando (21834445600); Reis, Boaventura Freire dos (7007058329); Zagatto, Elias Ayres Guidetti (35809557200); Cerdà, Víctor (7005344678)	57213090372; 21834445600; 7007058329; 35809557200; 7005344678	Flow-based determination of lead exploiting in-syringe dispersive liquid-liquid micro-extraction in xylene and integrated spectrophotometric detection	2022	Talanta	247		123528				10.1016/j.talanta.2022.123528	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130157625&doi=10.1016%2fj.talanta.2022.123528&partnerID=40&md5=a71b91c8b603f240d4513cb272c4b977	A lab-in-syringe flow system exploiting dispersive liquid-liquid micro-extraction in a solvent lighter than water is proposed for the spectrophotometric determination of lead in industrial residual waters. The steps inherent to both liquid-liquid extraction and monitoring of the formed compound are in-syringe carried out. The classical carbon tetrachloride is not used as the extracting solvent, as it does not present the friendly characteristics inherent to the Green Analytical Chemistry. Aiming at a cleaner alternative for this determination, xylene is selected. Enrichment factor, linear dynamic range, detection limit, sample throughput and residue volume inherent to the proposed procedure were estimated as 36, 50.0–250 μg L−1, 9.0 μg L−1, 13 h−1, and 2.0 mL, respectively. © 2022 Elsevier B.V.	Article	Scopus
Batista-Silva W.; Carvalho De Oliveira A.; Martins A.O.; Siqueira J.A.; Rodrigues-Salvador A.; Omena-Garcia R.P.; Medeiros D.B.; Peres L.E.P.; Ribeiro D.M.; Zsögön A.; Fernie A.R.; Nunes-Nesi A.; Araújo W.L.	Batista-Silva, Willian (57202844795); Carvalho De Oliveira, Alice (57792237800); Martins, Auxiliadora Oliveira (56384959500); Siqueira, João Antonio (57202590267); Rodrigues-Salvador, Acácio (57193253973); Omena-Garcia, Rebeca P (56507503600); Medeiros, David Barbosa (55600563800); Peres, Lázaro Eustáquio Pereira (7003409167); Ribeiro, Dimas Mendes (8553638200); Zsögön, Agustín (57217139797); Fernie, Alisdair R (7004871138); Nunes-Nesi, Adriano (6505514703); Araújo, Wagner L (8967238700)	57202844795; 57792237800; 56384959500; 57202590267; 57193253973; 56507503600; 55600563800; 7003409167; 8553638200; 57217139797; 7004871138; 6505514703; 8967238700	Reduced auxin signalling through the cyclophilin gene DIAGEOTROPICA impacts tomato fruit development and metabolism during ripening	2022	Journal of Experimental Botany	73	12		4113	4128	15	10.1093/jxb/erac143	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133749771&doi=10.1093%2fjxb%2ferac143&partnerID=40&md5=ab76449a100a9259ed611e23aa358cbb	Auxin is an important hormone playing crucial roles during fruit growth and ripening; however, the metabolic impact of changes in auxin signalling during tomato (Solanum lycopersicum L.) ripening remains unclear. Here, we investigated the significance of changes in auxin signalling during different stages of fruit development by analysing changes in tomato fruit quality and primary metabolism using mutants with either lower or higher auxin sensitivity [diageotropica (dgt) and entire mutants, respectively]. Altered auxin sensitivity modifies metabolism, through direct impacts on fruit respiration and fruit growth. We verified that the dgt mutant plants exhibit reductions in fruit set, total fruit dry weight, fruit size, number of seeds per fruit, and fresh weight loss during post-harvest. Sugar accumulation was associated with delayed fruit ripening in dgt, probably connected with reduced ethylene levels and respiration, coupled with a lower rate of starch degradation. In contrast, despite exhibiting parthenocarpy, increased auxin perception (entire) did not alter fruit ripening, leading to only minor changes in primary metabolism. By performing a comprehensive analysis, our results connect auxin signalling and metabolic changes during tomato fruit development, indicating that reduced auxin signalling led to extensive changes in sugar concentration and starch metabolism during tomato fruit ripening.  © 2022 The Author(s) 2022. Published by Oxford University Press on behalf of the Society for Experimental Biology. All rights reserved.	Article	Scopus
Venturini A.M.; Dias N.M.S.; Gontijo J.B.; Yoshiura C.A.; Paula F.S.; Meyer K.M.; Nakamura F.M.; da França A.G.; Borges C.D.; Barlow J.; Berenguer E.; Nüsslein K.; Rodrigues J.L.M.; Bohannan B.J.M.; Tsai S.M.	Venturini, Andressa M. (57215030275); Dias, Naissa M.S. (57560724000); Gontijo, Júlia B. (56132446700); Yoshiura, Caio A. (36130784800); Paula, Fabiana S. (55889197500); Meyer, Kyle M. (57045298200); Nakamura, Fernanda M. (57191262136); da França, Aline G. (57216734719); Borges, Clovis D. (24177766200); Barlow, Jos (7402197897); Berenguer, Erika (54683478200); Nüsslein, Klaus (6505848949); Rodrigues, Jorge L.M. (7202707476); Bohannan, Brendan J.M. (7004020596); Tsai, Siu M. (7403478681)	57215030275; 57560724000; 56132446700; 36130784800; 55889197500; 57045298200; 57191262136; 57216734719; 24177766200; 7402197897; 54683478200; 6505848949; 7202707476; 7004020596; 7403478681	Increased soil moisture intensifies the impacts of forest-to-pasture conversion on methane emissions and methane-cycling communities in the Eastern Amazon	2022	Environmental Research	212		113139				10.1016/j.envres.2022.113139	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127461159&doi=10.1016%2fj.envres.2022.113139&partnerID=40&md5=d85482fada794df5c3556ca9e5967494	Climatic changes are altering precipitation patterns in the Amazon and may influence soil methane (CH4) fluxes due to the differential responses of methanogenic and methanotrophic microorganisms. However, it remains unclear if these climate feedbacks can amplify land-use-related impacts on the CH4 cycle. To better predict the responses of soil CH4-cycling microorganisms and emissions under altered moisture levels in the Eastern Brazilian Amazon, we performed a 30-day microcosm experiment manipulating the moisture content (original moisture; 60%, 80%, and 100% of field capacity - FC) of forest and pasture soils. Gas samples were collected periodically for gas chromatography analysis, and methanogenic archaeal and methanotrophic bacterial communities were assessed using quantitative PCR and metagenomics. Positive and negative daily CH4 fluxes were observed for forest and pasture, indicating that these soils can act as both CH4 sources and sinks. Cumulative emissions and the abundance of methanogenesis-related genes and taxonomic groups were affected by land use, moisture, and their interaction. Pasture soils at 100% FC had the highest abundance of methanogens and CH4 emissions, 22 times higher than forest soils under the same treatment. Higher ratios of methanogens to methanotrophs were found in pasture than in forest soils, even at field capacity conditions. Land use and moisture were significant factors influencing the composition of methanogenic and methanotrophic communities. The diversity and evenness of methanogens did not change throughout the experiment. In contrast, methanotrophs exhibited the highest diversity and evenness in pasture soils at 100% FC. Taken together, our results suggest that increased moisture exacerbates soil CH4 emissions and microbial responses driven by land-use change in the Amazon. This is the first report on the microbial CH4 cycle in Amazonian upland soils that combined one-month gas measurements with advanced molecular methods. © 2022 Elsevier Inc.	Article	Scopus
Menezes J.; Garcia S.; Grandis A.; Nascimento H.; Domingues T.F.; Guedes A.V.; Aleixo I.; Camargo P.; Campos J.; Damasceno A.; Dias-Silva R.; Fleischer K.; Kruijt B.; Cordeiro A.L.; Martins N.P.; Meir P.; Norby R.J.; Pereira I.; Portela B.; Rammig A.; Ribeiro A.G.; Lapola D.M.; Quesada C.A.	Menezes, Juliane (57283290000); Garcia, Sabrina (56435307000); Grandis, Adriana (35182797700); Nascimento, Henrique (6701765625); Domingues, Tomas F (6507886390); Guedes, Alacimar V (56982642800); Aleixo, Izabela (57208424703); Camargo, Plínio (7004416841); Campos, Jéssica (57787058200); Damasceno, Amanda (57787362200); Dias-Silva, Renann (57243950600); Fleischer, Katrin (55541079200); Kruijt, Bart (6701848102); Cordeiro, Amanda L (57191338566); Martins, Nathielly P (57221739925); Meir, Patrick (6602529747); Norby, Richard J (7005923200); Pereira, Iokanam (57193060158); Portela, Bruno (36627462600); Rammig, Anja (16175824000); Ribeiro, Ana Gracy (57788254300); Lapola, David M (6505758008); Quesada, Carlos A (7003929943)	57283290000; 56435307000; 35182797700; 6701765625; 6507886390; 56982642800; 57208424703; 7004416841; 57787058200; 57787362200; 57243950600; 55541079200; 6701848102; 57191338566; 57221739925; 6602529747; 7005923200; 57193060158; 36627462600; 16175824000; 57788254300; 6505758008; 7003929943	Changes in leaf functional traits with leaf age: When do leaves decrease their photosynthetic capacity in Amazonian trees?	2022	Tree Physiology	42	5		922	938	16	10.1093/treephys/tpab042	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111797657&doi=10.1093%2ftreephys%2ftpab042&partnerID=40&md5=95cbe332c6b509f33e5363c251bd37c7	Most leaf functional trait studies in the Amazon basin do not consider ontogenetic variations (leaf age), which may influence ecosystem productivity throughout the year. When leaf age is taken into account, it is generally considered discontinuous, and leaves are classified into age categories based on qualitative observations. Here, we quantified age-dependent changes in leaf functional traits such as the maximum carboxylation rate of ribulose-1,5-biphosphate carboxylase/oxygenase (Rubisco) (Vcmax), stomatal control (Cgs%), leaf dry mass per area and leaf macronutrient concentrations for nine naturally growing Amazon tropical trees with variable phenological strategies. Leaf ages were assessed by monthly censuses of branch-level leaf demography; we also performed leaf trait measurements accounting for leaf chronological age based on days elapsed since the first inclusion in the leaf demography, not predetermined age classes. At the tree community scale, a nonlinear relationship between Vcmax and leaf age existed: young, developing leaves showed the lowest mean photosynthetic capacity, increasing to a maximum at 45 days and then decreasing gradually with age in both continuous and categorical age group analyses. Maturation times among species and phenological habits differed substantially, from 8 ± 30 to 238 ± 30 days, and the rate of decline of Vcmax varied from -0.003 to -0.065 μmol CO2 m-2 s-1 day-1. Stomatal control increased significantly in young leaves but remained constant after peaking. Mass-based phosphorus and potassium concentrations displayed negative relationships with leaf age, whereas nitrogen did not vary temporally. Differences in life strategies, leaf nutrient concentrations and phenological types, not the leaf age effect alone, may thus be important factors for understanding observed photosynthesis seasonality in Amazonian forests. Furthermore, assigning leaf age categories in diverse tree communities may not be the recommended method for studying carbon uptake seasonality in the Amazon, since the relationship between Vcmax and leaf age could not be confirmed for all trees. © 2021 The Author(s) 2021. Published by Oxford University Press. All rights reserved.	Article	Scopus
Mandro J.A.; Nakamura F.M.; Gontijo J.B.; Tsai S.M.; Venturini A.M.	Mandro, Jéssica A. (57215146304); Nakamura, Fernanda M. (57191262136); Gontijo, Júlia B. (56132446700); Tsai, Siu M. (7403478681); Venturini, Andressa M. (57215030275)	57215146304; 57191262136; 56132446700; 7403478681; 57215030275	Metagenome-Assembled Genomes from Amazonian Soil Microbial Consortia	2022	Microbiology Resource Announcements	11	11					10.1128/mra.00804-22	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142690846&doi=10.1128%2fmra.00804-22&partnerID=40&md5=8871c0108634a214920e2c41c06600fb	Here, we report 17 metagenome-assembled genomes (MAGs) recovered from microbial consortia of forest and pasture soils in the Brazilian Eastern Amazon. The bacterial MAGs have the potential to act in important ecological processes, including carbohydrate degradation and sulfur and nitrogen cycling. Copyright © 2022 Mandro et al.	Article	Scopus
Bernardes R.C.; De Medeiros A.; da Silva L.; Cantoni L.; Martins G.F.; Mastrangelo T.; Novikov A.; Mastrangelo C.B.	Bernardes, Rodrigo Cupertino (56742968100); De Medeiros, André (57203950751); da Silva, Laercio (36623226600); Cantoni, Leo (57963053500); Martins, Gustavo Ferreira (7005953707); Mastrangelo, Thiago (36100371800); Novikov, Arthur (57207453678); Mastrangelo, Clíssia Barboza (57783767400)	56742968100; 57203950751; 36623226600; 57963053500; 7005953707; 36100371800; 57207453678; 57783767400	Deep-Learning Approach for Fusarium Head Blight Detection in Wheat Seeds Using Low-Cost Imaging Technology	2022	Agriculture (Switzerland)	12	11	1801				10.3390/agriculture12111801	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141803882&doi=10.3390%2fagriculture12111801&partnerID=40&md5=419f9e3bddf53a92f24055598bbc365d	Modern techniques that enable high-precision and rapid identification/elimination of wheat seeds infected by Fusarium head blight (FHB) can help to prevent human and animal health risks while improving agricultural sustainability. Robust pattern-recognition methods, such as deep learning, can achieve higher precision in detecting infected seeds using more accessible solutions, such as ordinary RGB cameras. This study used different deep-learning approaches based on RGB images, combining hyperparameter optimization, and fine-tuning strategies with different pretrained convolutional neural networks (convnets) to discriminate wheat seeds of the TBIO Toruk cultivar infected by FHB. The models achieved an accuracy of 97% using a low-complexity design architecture with hyperparameter optimization and 99% accuracy in detecting FHB in seeds. These findings suggest the potential of low-cost imaging technology and deep-learning models for the accurate classification of wheat seeds infected by FHB. However, FHB symptoms are genotype-dependent, and therefore the accuracy of the detection method may vary depending on phenotypic variations among wheat cultivars. © 2022 by the authors.	Article	Scopus
Queiroz L.G.; do Prado C.C.A.; da Silva D.C.V.R.; Gomes L.E.T.; Marassi R.J.; Almeida É.C.; Pinto E.; da Silva F.T.; de Paiva T.C.B.	Queiroz, Lucas Gonçalves (57213461756); do Prado, Caio César Achiles (57220190101); da Silva, Daniel Clemente Vieira Rêgo (57213564993); Gomes, Luiz Eduardo Thans (57196451948); Marassi, Rodrigo José (57202494887); Almeida, Éryka Costa (57212033953); Pinto, Ernani (7007078512); da Silva, Flávio Teixeira (36897867900); de Paiva, Teresa Cristina Brazil (57217140344)	57213461756; 57220190101; 57213564993; 57196451948; 57202494887; 57212033953; 7007078512; 36897867900; 57217140344	Ecological risk of imidacloprid on the Brazilian non-target freshwater organisms Chironomus sancticaroli and Poecilia reticulata	2022	Environmental Monitoring and Assessment	194	10	751				10.1007/s10661-022-10418-9	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137751525&doi=10.1007%2fs10661-022-10418-9&partnerID=40&md5=22befe9b42d88ac6ee3b6a59b0701672	Imidacloprid (IMI) is a neonicotinoid insecticide widely used in agriculture worldwide. This pesticide has been found in freshwater ecosystems, including Brazilian freshwaters. For this reason, studies are being conducted to detect the presence of IMI in freshwater and understand its effects on the aquatic biota. In the present study, the acute toxic effect of the imidacloprid commercial formulation (ICF) Galeão® on the Brazilian non-target aquatic organisms Chironomus sancticaroli and Poecilia reticulata was evaluated. Enzymatic activities (glutathione S-transferase (GST), catalase (CAT), and ascorbate peroxidase (APX)) were also determined. Moreover, we considered 11 studies that detected IMI concentrations up to 3.65 µg.L−1 in 28 different Brazilian freshwaters to evaluate the acute ecological risk of IMI in these environments. From the ecotoxicological assays, we determined the LC50 values for C. sancticaroli (LC50-48 h 1.52 µg.L−1) and P. reticulata (LC50-96 h 122.65 mg.L−1). The high sensitivity of C. sancticaroli demonstrates that this species could be used as a bioindicator in studies investigating the contamination of freshwater by IMI. Enzymatic activity changes were observed in both organisms and offered sublethal responses to the effects of the pollution by IMI on aquatic biota. Our results suggest that the presence of IMI in Brazilian aquatic ecosystems can represent a potential ecological risk for the aquatic insect populations and, consequently, cause an imbalance in these ecosystems. The present study provides relevant and comparable toxicity information that may be useful to develop public policies to protect the Brazilian aquatic ecosystem from IMI contamination. © 2022, The Author(s), under exclusive licence to Springer Nature Switzerland AG.	Article	Scopus
Beauchemin K.A.; Ungerfeld E.M.; Abdalla A.L.; Alvarez C.; Arndt C.; Becquet P.; Benchaar C.; Berndt A.; Mauricio R.M.; McAllister T.A.; Oyhantçabal W.; Salami S.A.; Shalloo L.; Sun Y.; Tricarico J.; Uwizeye A.; De Camillis C.; Bernoux M.; Robinson T.; Kebreab E.	Beauchemin, Karen A. (7006478754); Ungerfeld, Emilio M. (6507983002); Abdalla, Adibe L. (7103049344); Alvarez, Clementina (57215589338); Arndt, Claudia (53463210800); Becquet, Philippe (57808201300); Benchaar, Chaouki (6602579949); Berndt, Alexandre (53879536500); Mauricio, Rogerio M. (7004920780); McAllister, Tim A. (7102068695); Oyhantçabal, Walter (13205481700); Salami, Saheed A. (56884279400); Shalloo, Laurence (6602787027); Sun, Yan (57221393962); Tricarico, Juan (11139950000); Uwizeye, Aimable (56030587600); De Camillis, Camillo (35268517500); Bernoux, Martial (6701818615); Robinson, Timothy (56360252500); Kebreab, Ermias (10239902300)	7006478754; 6507983002; 7103049344; 57215589338; 53463210800; 57808201300; 6602579949; 53879536500; 7004920780; 7102068695; 13205481700; 56884279400; 6602787027; 57221393962; 11139950000; 56030587600; 35268517500; 6701818615; 56360252500; 10239902300	Invited review: Current enteric methane mitigation options	2022	Journal of Dairy Science	105	12		9297	9326	29	10.3168/jds.2022-22091	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140090467&doi=10.3168%2fjds.2022-22091&partnerID=40&md5=0e31386b730b349a6474c0b0aeb7414f	Ruminant livestock are an important source of anthropogenic methane (CH4). Decreasing the emissions of enteric CH4 from ruminant production is strategic to limit the global temperature increase to 1.5°C by 2050. Research in the area of enteric CH4 mitigation has grown exponentially in the last 2 decades, with various strategies for enteric CH4 abatement being investigated: production intensification, dietary manipulation (including supplementation and processing of concentrates and lipids, and management of forage and pastures), rumen manipulation (supplementation of ionophores, 3-nitrooxypropanol, macroalgae, alternative electron acceptors, and phytochemicals), and selection of low-CH4-producing animals. Other enteric CH4 mitigation strategies are at earlier stages of research but rapidly developing. Herein, we discuss and analyze the current status of available enteric CH4 mitigation strategies with an emphasis on opportunities and barriers to their implementation in confined and partial grazing production systems, and in extensive and fully grazing production systems. For each enteric CH4 mitigation strategy, we discuss its effectiveness to decrease total CH4 emissions and emissions on a per animal product basis, safety issues, impacts on the emissions of other greenhouse gases, as well as other economic, regulatory, and societal aspects that are key to implementation. Most research has been conducted with confined animals, and considerably more research is needed to develop, adapt, and evaluate antimethanogenic strategies for grazing systems. In general, few options are currently available for extensive production systems without feed supplementation. Continuous research and development are needed to develop enteric CH4 mitigation strategies that are locally applicable. Information is needed to calculate carbon footprints of interventions on a regional basis to evaluate the impact of mitigation strategies on net greenhouse gas emissions. Economically affordable enteric CH4 mitigation solutions are urgently needed. Successful implementation of safe and effective antimethanogenic strategies will also require delivery mechanisms and adequate technical support for producers, as well as consumer involvement and acceptance. The most appropriate metrics should be used in quantifying the overall climate outcomes associated with mitigation of enteric CH4 emissions. A holistic approach is required, and buy-in is needed at all levels of the supply chain. © 2022 American Dairy Science Association	Article	Scopus
Polonio J.C.; Ribeiro M.A.D.S.; Fávaro-Polonio C.Z.; Meurer E.C.; Azevedo J.L.; Golias H.C.; Pamphile J.A.	Polonio, Julio Cesar (56698278600); Ribeiro, Marcos Alessandro dos Santos (57203083351); Fávaro-Polonio, Cintia Zani (57878300400); Meurer, Eduardo Cesar (6604027430); Azevedo, João Lúcio (35549476400); Golias, Halison Correia (57212589748); Pamphile, João Alencar (6507624638)	56698278600; 57203083351; 57878300400; 6604027430; 35549476400; 57212589748; 6507624638	Differential Chemical Profile of Metabolite Extracts Produced by the Diaporthe citri (G-01) Endophyte Mediated by Varying the Fermented Broth pH	2022	Metabolites	12	8	692				10.3390/metabo12080692	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137412230&doi=10.3390%2fmetabo12080692&partnerID=40&md5=7930d914f54fac61a6e655373e7608f2	Endophytic microorganisms show great potential for biotechnological exploitation because they are able to produce a wide range of secondary compounds involved in endophyte–plant adaptation, and their interactions with other living organisms that share the same microhabitat. Techniques used to chemically extract these compounds often neglect the intrinsic chemical characteristics of the molecules involved, such as the ability to form conjugate acids or bases and how they influence the solubilities of these molecules in organic solvents. Therefore, in this study, we aimed to evaluate how the pH of the fermented broth affects the process used to extract the secondary metabolites of the Diaporthe citri strain G-01 endophyte with ethyl acetate as the organic solvent. The analyzed samples, conducted by direct-infusion electrospray-ionization mass spectrometry, were grouped according to the pH of the fermented broth (i.e., <7 and ≥7). A more extreme pH (i.e., 2 or 12) was found to affect the chemical profile of the sample. Moreover, statistical analysis enabled us to determine the presence or absence of ions of high importance; for example, ions at 390.7 and 456.5 m/z were observed mainly at acidic pH, while 226.5, 298.3, and 430.1 m/z ions were observed at pH ≥ 7. Extraction at a pH between 4 and 9 may be of interest for exploring the differential secondary metabolites produced by endophytes. Furthermore, pH influences the chemical phenotype of the fungal metabolic extract. © 2022 by the authors.	Article	Scopus
